from,to,time
B1,B2,1
B2,B3,1
B3,B4,1
G2,G3,1
G3,G4,1
G4,G5,1
I2,I3,1
Y3,Y4,1
O3,O4,1
CSE dept,BBSE dept,2
BBSE dept,Basic Labs dept,1
Basic Labs dept,Chemistry dept,1
Chemistry dept,CSE dept,2
B1,CSE dept,5
B1,BBSE dept,5
B1,Basic Labs dept,4
B1,Chemistry dept,5
Mech dept,EE dept,2
EE dept,Physics dept,1
Physics dept,Math dept,1
Math dept,Mech dept,2
CSE dept,Mech dept,3
Chemistry dept,Physics dept,2
CSE dept,Shamiyana,1
Shamiyana,Mech dept,1
Shamiyana,EE dept,2
Admin Block,Library,1
Library,Admin Block,1
B1,Admin Block,4
Admin Block,B1,4
B3,Old Mess,3
Old Mess,B4,3
Old Mess,New Mess,1
New Mess,Old Mess,1
New Mess,G3,1
New Mess,G4,1
Hostel A,B1,5
Hostel A,Old Mess,4
Admin Block,Defense Installation,15
Defense Installation,Control Tower,12
Library,CSE dept,6
Library,Mech dept,7
Physics dept,Student Activity Center,5
Main Gate,Knowledge Tree,7
